iter	MultiClass
164	0.4729176526
165	0.4723064349
166	0.4716818961
167	0.4713042264
168	0.4707671984
169	0.4703927381
170	0.4698588951
171	0.4690424596
172	0.4684315258
173	0.4678427463
174	0.467237126
175	0.466359631
176	0.4657788497
177	0.4652506908
178	0.4646427094
179	0.4639742699
180	0.4635314034
181	0.4631767389
182	0.4627709192
183	0.4622006173
184	0.4615396972
185	0.4611922293
186	0.4606460941
187	0.4599961677
188	0.4595953555
189	0.4590014235
190	0.45854409
191	0.4581317907
192	0.4576547492
193	0.4571596705
194	0.4567365348
195	0.4560740791
196	0.4556478594
197	0.4550801316
198	0.4545852409
199	0.4541913025
200	0.4537865265
201	0.4533045001
202	0.4529110779
203	0.4525246209
204	0.4520874353
205	0.4515335121
206	0.4511925447
207	0.4507374826
208	0.4501605802
209	0.4495581726
210	0.4491266221
211	0.4487853725
212	0.4484844312
213	0.4481387509
214	0.4476448259
215	0.4474597418
216	0.4469270973
217	0.4462548363
218	0.4456824802
219	0.4454332853
220	0.4449379007
221	0.4444080967
222	0.4439912409
223	0.4436026169
224	0.4431140073
225	0.442611101
226	0.441991919
227	0.4416675249
228	0.4411351768
229	0.4408185199
230	0.4404210694
231	0.4398489718
232	0.4394114216
233	0.4390085029
234	0.4387880873
235	0.4384936477
236	0.4379819388
237	0.437615949
238	0.4373395478
239	0.4368055041
240	0.436492057
241	0.4362127831
242	0.4359128076
243	0.4355265746
244	0.4350850212
245	0.4347020323
246	0.4341245097
247	0.4338009846
248	0.4334951068
249	0.4332041492
250	0.4328364733
251	0.432441823
252	0.4319776062
253	0.4315221636
254	0.4311378081
255	0.4305472003
256	0.4302360567
257	0.4298693938
258	0.4295104768
259	0.4292372274
260	0.4289311804
261	0.4285885171
262	0.4281422709
263	0.4278495496
264	0.4276079067
265	0.4273850577
266	0.4271053034
267	0.4269197718
268	0.4266114929
269	0.4263139666
270	0.425984797
271	0.4256855149
272	0.4252620019
273	0.4248274949
274	0.4244816455
275	0.4241262076
276	0.4238672202
277	0.4235837864
278	0.4233395225
279	0.4229657452
280	0.4225443919
281	0.4222872823
282	0.4217556695
283	0.42131293
284	0.4208784854
285	0.4203634095
286	0.4199805558
287	0.4196193557
288	0.4193115275
289	0.4190745952
290	0.418723945
291	0.4185454065
292	0.4181877403
293	0.4178269678
294	0.4173930879
295	0.4169505411
296	0.4165765582
297	0.4162717336
298	0.4157820818
299	0.4155932678
300	0.4151923081
301	0.4148624548
302	0.4143793069
303	0.4140455732
304	0.4136843294
305	0.4132661298
306	0.4130607421
307	0.4128241977
308	0.4125701464
309	0.4122195838
310	0.4118667891
311	0.411497992
312	0.4112307492
313	0.4109171905
314	0.4104934858
315	0.4103200779
316	0.409762307
317	0.4092753267
318	0.4089477075
319	0.4085455058
320	0.4081148216
321	0.4077734038
322	0.4073669172
323	0.4067330384
324	0.4064031251
325	0.4060705865
326	0.4056458122
327	0.4053867101
328	0.4048865531
329	0.4046837794
330	0.4042562119
331	0.4040043643
332	0.4038109948
333	0.4032957991
334	0.4030050328
335	0.4026694672
336	0.4024479645
337	0.4022141531
338	0.4018719352
339	0.4015292627
340	0.4012871047
341	0.4008697346
342	0.400546902
343	0.4003274915
344	0.4001233009
345	0.3997603522
346	0.3995613214
347	0.3990089453
348	0.3987637788
349	0.3984785906
350	0.398027014
351	0.3977270959
352	0.3974540231
353	0.3971945
354	0.396964498
355	0.3966718258
356	0.396111494
357	0.3958003841
358	0.3955419077
359	0.3952047018
360	0.3949047753
361	0.3945183932
362	0.3941918512
363	0.3938699889
364	0.3936692441
365	0.3934305524
366	0.3928388808
367	0.3925797879
368	0.3923634511
369	0.3920210543
370	0.3914976599
371	0.3911155941
372	0.3908838638
373	0.3905535822
374	0.390236847
375	0.3898800352
376	0.3895669373
377	0.3893578257
378	0.3889935158
379	0.3886599516
380	0.3883887823
381	0.3879751339
382	0.3876716218
383	0.3875005868
384	0.3870695057
385	0.386742168
386	0.3863940857
387	0.3862463117
388	0.3859280468
389	0.3857034126
390	0.3853652167
391	0.3850117644
392	0.3847472322
393	0.3843993373
394	0.384085904
395	0.3839111999
396	0.3835788745
397	0.3832557918
398	0.3829696358
399	0.3826877014
400	0.3823835206
401	0.3821730306
402	0.3819203815
403	0.3816265014
404	0.3813907555
405	0.3811118025
406	0.3808737648
407	0.3804880201
408	0.3801051472
409	0.3797760513
410	0.3794726336
411	0.3791197026
412	0.3787287708
413	0.3784806958
414	0.3782548806
415	0.3780071135
416	0.377576195
417	0.3772869503
418	0.3769755427
419	0.3766207918
420	0.376361114
421	0.376071872
422	0.3758200596
423	0.3755875324
424	0.3753356365
425	0.3750256072
426	0.3746916848
427	0.3744143664
428	0.3741846737
429	0.3737846969
430	0.3735692824
431	0.3732728324
432	0.372913166
433	0.3726537642
434	0.3724449313
435	0.3722405313
436	0.3719022865
437	0.3715539065
438	0.3712223453
439	0.3709945667
440	0.3705666616
441	0.370265646
442	0.3699829036
443	0.3697679254
444	0.369538464
445	0.3691563183
446	0.3688859701
447	0.3686840443
448	0.3682929606
449	0.3678933713
450	0.367634186
451	0.3673966428
452	0.3671778834
453	0.3669534017
454	0.3665874053
455	0.3663814882
456	0.3661786327
457	0.3657844007
458	0.3655534232
459	0.3653481302
460	0.364940673
461	0.3646454602
462	0.3643577275
463	0.3641853109
464	0.3639331805
465	0.3636714533
466	0.3633302475
467	0.3630275377
468	0.362810835
469	0.3625622507
470	0.3622250636
471	0.3618753459
472	0.3616711013
473	0.3614295984
474	0.3611733139
475	0.3609161709
476	0.3606814979
477	0.360503226
478	0.3601670913
479	0.3599517336
480	0.3596470716
481	0.3593166808
482	0.3589964551
483	0.358660298
484	0.3583274231
485	0.3579597011
486	0.357602937
487	0.357348051
488	0.3570722456
489	0.356671158
490	0.3563066451
491	0.3561589902
492	0.3558851211
493	0.355606978
494	0.355346865
495	0.3549334131
496	0.3547968027
497	0.3545581336
498	0.3541592154
499	0.3537470706
500	0.3536499191
501	0.3534035427
502	0.3532175801
503	0.3529929656
504	0.352808955
505	0.3525856173
506	0.3523451347
507	0.3519551022
508	0.3516179751
509	0.3514465578
510	0.351280028
511	0.3510643817
512	0.350706071
513	0.3504544272
514	0.3501055148
515	0.3499847375
516	0.3496527615
517	0.3493088119
518	0.3490944338
519	0.3487459612
520	0.348497298
521	0.3482224579
522	0.3480116828
523	0.3478074468
524	0.347425926
525	0.3470824992
526	0.3467422838
527	0.3464351091
528	0.3462346941
529	0.3460501124
530	0.3458143522
531	0.3454758518
532	0.3452602432
533	0.345086904
534	0.3447979999
535	0.3445842007
536	0.3443060768
537	0.3440334774
538	0.3437197616
539	0.3434836219
540	0.3432882772
541	0.3430600456
542	0.3427119944
543	0.3425185099
544	0.3423707883
545	0.3421524115
546	0.3419367372
547	0.3416891425
548	0.3413464696
549	0.3411819665
550	0.3409989651
551	0.3406708118
552	0.340408889
553	0.3401965122
554	0.3400569861
555	0.3397165812
556	0.3392726904
557	0.3389823279
558	0.3386221904
559	0.3383666268
560	0.3380734317
561	0.3379102373
562	0.3376958275
563	0.3374503152
564	0.3372581135
565	0.337055922
566	0.3367266813
567	0.336491907
568	0.3363458536
569	0.3360793642
570	0.3358504541
571	0.3355768751
572	0.3353508771
573	0.3350158262
574	0.3348719724
575	0.3346476569
576	0.3344242121
577	0.334253576
578	0.3341189303
579	0.3338725019
580	0.3336097664
581	0.3333899976
582	0.333173883
583	0.3328816641
584	0.3326244022
585	0.3324637286
586	0.3321037087
587	0.3317051904
588	0.3314799114
589	0.331006383
590	0.3307815482
591	0.3306504732
592	0.3304715255
593	0.3302124505
594	0.329893899
595	0.3297088872
596	0.3295078247
597	0.3290892846
598	0.3289197863
599	0.3285481034
600	0.3283542499
601	0.3279886215
602	0.3276851162
603	0.3275095186
604	0.3272151601
605	0.327039293
606	0.3268418153
607	0.326493738
608	0.326233498
609	0.3260191193
610	0.3257743575
611	0.3256369384
612	0.3254851982
613	0.3251689154
614	0.3249245691
615	0.3247266894
616	0.3245097735
617	0.3243165812
618	0.324113203
619	0.3237582806
620	0.3235846768
621	0.3233236151
622	0.3229697171
623	0.3227429426
624	0.3224872704
625	0.322369266
626	0.3221503367
627	0.3219436238
628	0.3217481195
629	0.3215361594
630	0.32141256
631	0.3212599726
632	0.3209604349
633	0.3207926878
634	0.3206794911
635	0.3205249986
636	0.3201166671
637	0.3199111488
638	0.3197386827
639	0.319427272
640	0.3192240753
641	0.3189832917
642	0.3187931508
643	0.3185759228
644	0.3183899915
645	0.3181365636
646	0.3179095884
647	0.3175936374
648	0.3173619914
649	0.317026666
650	0.316726878
651	0.3163892891
652	0.3161658101
653	0.3159316158
654	0.3155798522
655	0.3153669902
656	0.3151679009
657	0.3148588977
658	0.3146898657
659	0.3144749596
660	0.3141954714
661	0.3140425325
662	0.3137615447
663	0.313551762
664	0.3133115192
665	0.313113242
666	0.3129397271
667	0.3126513238
668	0.3124495107
669	0.3122348375
670	0.3120906646
671	0.3119196652
672	0.311619989
673	0.3112933572
674	0.3110497902
675	0.3106778029
676	0.3102907631
677	0.3101130628
678	0.3098527896
679	0.309585494
680	0.3092633912
681	0.3091048553
682	0.3089051762
683	0.3085691696
684	0.3083572123
685	0.3080436795
686	0.3078364296
687	0.307659846
688	0.3074227112
689	0.3071624137
690	0.3069857005
691	0.3067831129
692	0.3065703929
693	0.306421895
694	0.3062732792
695	0.3060761929
696	0.3058201287
697	0.305649752
698	0.3053478139
699	0.3052441185
700	0.3049520829
701	0.3047263322
702	0.3045839775
703	0.304287408
704	0.3040599422
705	0.3037229402
706	0.3035142109
707	0.3033177707
708	0.303050419
709	0.3028788665
710	0.302617932
711	0.3024233038
712	0.3022384575
713	0.3020455963
714	0.3019169396
715	0.3016240207
716	0.3013432654
717	0.3011480423
718	0.3009407451
719	0.3007346978
720	0.300573254
721	0.3004213437
722	0.3001634533
723	0.300020802
724	0.2997672202
725	0.2996146005
726	0.2994820148
727	0.2992643785
728	0.2990757126
729	0.2989195824
730	0.2987028929
731	0.2984098315
732	0.2982384462
733	0.2981291779
734	0.2979419563
735	0.2977091132
736	0.2974539023
737	0.2972677526
738	0.2971478473
739	0.2970401643
740	0.2969425495
741	0.2967063698
742	0.2964744005
743	0.2961552201
744	0.2959967334
745	0.2957445512
746	0.2955456807
747	0.2953022397
748	0.2950650619
749	0.2948939388
750	0.2946402834
751	0.2943266114
752	0.2941600971
753	0.2940132026
754	0.2937474391
755	0.2935438001
756	0.2933133682
757	0.293110466
758	0.2929638728
759	0.2928128634
760	0.2924914109
761	0.2922505824
762	0.2920628073
763	0.29191716
764	0.2917745035
765	0.2916331851
766	0.2913242565
767	0.2911699022
768	0.2908874909
769	0.2907242898
770	0.2904808631
771	0.2903805758
772	0.2902054137
773	0.2899593491
774	0.2896829219
775	0.2895743019
776	0.289298261
777	0.2889768168
778	0.2887936781
779	0.2885493986
780	0.2884378151
781	0.2882802639
782	0.2881565934
783	0.2878791328
784	0.287752709
785	0.287473559
786	0.2872338955
787	0.2870922227
788	0.2868670305
789	0.2865592607
790	0.2864018096
791	0.2862809429
792	0.286090277
793	0.2859064631
794	0.2857443243
795	0.2854707695
796	0.2853125017
797	0.2851442857
798	0.2850033062
799	0.2847505239
798	0.2845518355
799	0.2844077481
