iter	Passed	Remaining
239	25190	58778
240	25292	58665
241	25396	58559
242	25500	58451
243	25599	58333
244	25690	58196
245	25788	58077
246	25906	58000
247	26001	57873
248	26102	57761
249	26209	57660
250	26299	57522
251	26413	57439
252	26517	57332
253	26625	57235
254	26732	57134
255	26846	57048
256	26945	56932
257	27045	56817
258	27154	56720
259	27259	56616
260	27367	56516
261	27462	56391
262	27580	56313
263	27682	56203
264	27778	56081
265	27882	55974
266	27981	55857
267	28083	55747
268	28180	55628
269	28277	55508
270	28399	55436
271	28499	55321
272	28621	55250
273	28737	55166
274	28827	55033
275	28943	54949
276	29028	54808
277	29128	54694
278	29228	54581
279	29338	54485
280	29445	54384
281	29540	54262
282	29652	54169
283	29763	54078
284	29861	53959
285	29967	53857
286	30068	53746
287	30160	53618
288	30264	53513
289	30373	53415
290	30502	53352
291	30608	53249
292	30730	53175
293	30835	53069
294	30924	52939
295	31026	52828
296	31112	52691
297	31218	52590
298	31337	52508
299	31439	52399
300	31562	52324
301	31667	52220
302	31791	52147
303	31881	52017
304	31986	51911
305	32095	51813
306	32188	51690
307	32295	51589
308	32395	51477
309	32504	51378
310	32623	51296
311	32712	51166
312	32815	51057
313	32948	50996
314	33045	50879
315	33123	50732
316	33239	50644
317	33348	50546
318	33461	50454
319	33551	50327
320	33674	50248
321	33765	50124
322	33875	50026
323	33991	49938
324	34103	49843
325	34196	49721
326	34292	49603
327	34378	49471
328	34489	49375
329	34601	49280
330	34705	49174
331	34811	49071
332	34919	48970
333	35015	48853
334	35117	48745
335	35211	48625
336	35325	48533
337	35436	48436
338	35575	48378
339	35665	48253
340	35776	48156
341	35871	48038
342	35965	47918
343	36067	47809
344	36159	47688
345	36246	47560
346	36380	47494
347	36503	47412
348	36603	47301
349	36694	47178
350	36793	47066
351	36923	46994
352	37034	46895
353	37152	46807
354	37271	46720
355	37370	46607
356	37468	46494
357	37558	46371
358	37659	46261
359	37767	46160
360	37862	46043
361	37982	45956
362	38093	45859
363	38220	45780
364	38316	45664
365	38428	45567
366	38528	45457
367	38630	45348
368	38772	45286
369	38877	45181
370	38976	45070
371	39071	44953
372	39170	44841
373	39276	44736
374	39384	44635
375	39467	44505
376	39591	44421
377	39686	44306
378	39787	44196
379	39883	44081
380	39963	43949
381	40087	43864
382	40189	43756
383	40289	43646
384	40400	43548
385	40519	43458
386	40648	43379
387	40783	43305
388	40890	43203
389	41012	43115
390	41129	43023
391	41244	42927
392	41368	42841
393	41475	42738
394	41583	42636
395	41695	42537
396	41816	42448
397	41946	42368
398	42087	42298
399	42190	42190
400	42297	42086
401	42414	41992
402	42541	41908
403	42650	41805
404	42771	41715
405	42880	41612
406	43027	41547
407	43135	41444
408	43258	41354
409	43372	41257
410	43485	41157
411	43609	41069
412	43734	40981
413	43869	40902
414	43995	40815
415	44125	40731
416	44224	40618
417	44341	40522
418	44449	40418
419	44562	40318
420	44690	40232
421	44832	40157
422	44932	40046
423	45045	39946
424	45162	39849
425	45295	39766
426	45405	39663
427	45517	39561
428	45638	39468
429	45737	39355
430	45852	39256
431	45953	39145
432	46064	39043
433	46180	38945
434	46298	38847
435	46430	38763
436	46539	38658
437	46658	38562
438	46780	38468
439	46904	38376
440	47029	38284
441	47145	38185
442	47283	38104
443	47382	37991
444	47520	37909
445	47639	37812
446	47754	37712
447	47865	37608
448	47993	37518
449	48137	37440
450	48253	37340
451	48419	37278
452	48522	37168
453	48675	37096
454	48812	37011
455	48940	36919
456	49073	36831
457	49176	36721
458	49289	36618
459	49392	36507
460	49544	36432
461	49674	36342
462	49768	36224
463	49871	36113
464	49993	36016
465	50112	35917
466	50241	35825
467	50377	35738
468	50495	35637
469	50630	35548
470	50761	35457
471	50881	35358
472	50995	35255
473	51113	35154
474	51228	35050
475	51370	34966
476	51481	34860
477	51615	34770
478	51751	34681
479	51857	34571
480	51967	34465
481	52092	34368
482	52205	34263
483	52335	34169
484	52457	34070
485	52563	33960
486	52679	33857
487	52791	33751
488	52907	33648
489	53039	33555
490	53156	33452
491	53265	33344
492	53392	33248
493	53517	33150
494	53647	33055
495	53759	32949
496	53895	32857
497	54016	32757
498	54136	32655
499	54243	32546
500	54365	32445
501	54493	32348
502	54620	32250
503	54763	32162
504	54900	32070
505	55020	31968
506	55144	31868
507	55246	31755
508	55367	31654
509	55520	31570
510	55639	31467
511	55785	31379
512	55895	31270
513	56017	31169
514	56132	31063
515	56245	30956
516	56359	30850
517	56483	30749
518	56591	30639
519	56713	30537
520	56846	30441
521	56957	30333
522	57079	30231
523	57203	30129
524	57328	30029
525	57434	29918
526	57553	29814
527	57676	29712
528	57808	29614
529	57944	29519
530	58041	29403
531	58173	29305
532	58283	29196
533	58422	29101
534	58547	28999
535	58665	28895
536	58773	28784
537	58895	28681
538	59031	28585
539	59168	28488
540	59293	28386
541	59402	28276
542	59523	28172
543	59651	28071
544	59788	27974
545	59909	27870
546	60051	27775
547	60183	27675
548	60325	27580
549	60440	27472
550	60558	27366
551	60682	27262
552	60798	27156
553	60925	27053
554	61061	26955
555	61200	26857
556	61328	26755
557	61456	26653
558	61588	26552
559	61727	26454
560	61853	26351
561	61975	26245
562	62122	26150
563	62254	26049
564	62402	25954
565	62515	25845
566	62631	25737
567	62762	25635
568	62877	25526
569	63004	25422
570	63144	25324
571	63264	25217
572	63399	25116
573	63512	25006
574	63634	24900
575	63764	24797
576	63893	24693
577	64018	24588
578	64159	24489
579	64297	24388
580	64452	24294
581	64575	24187
582	64707	24085
583	64835	23980
584	64948	23869
585	65071	23763
586	65201	23659
587	65324	23552
588	65434	23441
589	65568	23337
590	65687	23229
591	65812	23123
592	65942	23018
593	66072	22913
594	66209	22811
595	66308	22696
596	66431	22589
597	66556	22482
598	66704	22383
599	66834	22278
600	66952	22168
601	67063	22057
602	67209	21957
603	67353	21856
604	67482	21750
605	67599	21640
606	67743	21539
607	67865	21431
608	67988	21323
609	68144	21225
610	68272	21118
611	68412	21015
612	68546	20910
613	68680	20805
614	68851	20711
615	69002	20611
616	69162	20513
617	69317	20413
618	69451	20308
619	69588	20203
620	69721	20096
621	69862	19992
622	69987	19884
623	70128	19779
624	70261	19673
625	70430	19576
626	70567	19470
627	70727	19371
628	70871	19267
629	71012	19162
630	71159	19058
631	71308	18955
632	71413	18840
633	71540	18731
634	71692	18628
635	71865	18531
636	72001	18424
637	72166	18324
638	72280	18211
639	72416	18104
640	72529	17991
641	72695	17890
642	72847	17786
643	72968	17675
644	73118	17571
645	73269	17466
646	73383	17353
647	73541	17250
648	73668	17140
649	73804	17031
650	73916	16917
651	74034	16805
652	74185	16700
653	74307	16588
654	74436	16478
655	74555	16365
656	74690	16256
657	74802	16142
658	74943	16035
659	75085	15927
660	75240	15822
661	75354	15708
662	75481	15597
663	75609	15486
664	75761	15380
665	75890	15269
666	76020	15158
667	76139	15045
668	76262	14933
669	76404	14824
670	76547	14716
671	76701	14609
672	76845	14501
673	76940	14383
674	77088	14275
675	77243	14168
676	77397	14061
677	77539	13952
678	77670	13841
679	77825	13733
680	77949	13621
681	78084	13510
682	78218	13399
683	78346	13286
684	78491	13177
685	78601	13062
686	78721	12948
687	78848	12835
688	78980	12723
689	79118	12613
690	79268	12504
691	79398	12391
692	79556	12283
693	79687	12171
694	79812	12058
695	79927	11943
696	80050	11829
697	80180	11716
698	80307	11603
699	80462	11494
700	80583	11380
701	80708	11266
702	80836	11153
703	80966	11040
704	81094	10927
705	81211	10812
706	81355	10701
707	81481	10588
708	81633	10477
709	81771	10365
710	81899	10251
711	82042	10140
712	82168	10026
713	82294	9912
714	82418	9797
715	82536	9683
716	82669	9569
717	82787	9454
718	82912	9340
719	83057	9228
720	83195	9115
721	83307	9000
722	83404	8882
723	83501	8765
724	83602	8648
725	83681	8529
726	83757	8410
727	83827	8290
728	83900	8171
729	83975	8052
730	84034	7932
731	84100	7812
732	84170	7693
733	84243	7575
734	84313	7456
735	84385	7337
736	84462	7220
737	84532	7101
738	84598	6983
739	84666	6864
740	84736	6746
741	84816	6629
742	84889	6512
743	84966	6395
744	85041	6278
745	85114	6161
746	85186	6044
747	85270	5927
748	85346	5811
749	85411	5694
750	85484	5577
751	85560	5461
752	85628	5344
753	85697	5228
754	85785	5113
755	85859	4997
756	85941	4881
757	86016	4766
758	86091	4650
759	86154	4534
760	86235	4419
761	86305	4303
762	86375	4188
763	86440	4073
764	86514	3958
765	86586	3843
766	86660	3728
767	86729	3613
768	86795	3498
769	86862	3384
770	86940	3270
771	87012	3155
772	87085	3041
773	87156	2927
774	87223	2813
775	87296	2699
776	87360	2585
777	87429	2472
778	87495	2358
779	87566	2245
780	87630	2131
781	87704	2018
782	87777	1905
783	87848	1792
784	87917	1679
785	87989	1567
786	88055	1454
787	88123	1341
788	88190	1229
789	88256	1117
790	88324	1004
791	88392	892
792	88457	780
793	88525	668
794	88594	557
795	88644	445
796	88693	333
797	88741	222
798	88792	111
799	88838	0
